"Page URL with Http 400-499 errors ,""Page depth"""
"https://tevaxia.lu/en/aml-kyc/archives,""3"""
"https://tevaxia.lu/de/gestion-locative/relances,""3"""
"https://tevaxia.lu/lb/hotellerie/alerts,""3"""
"https://tevaxia.lu/de/pms/proprietes/nouveau,""3"""
"https://tevaxia.lu/de/gestion-locative/reconciliation/psd2,""3"""
"https://tevaxia.lu/en/conseil-syndical,""3"""
"https://tevaxia.lu/de/esg/crrem,""3"""
"https://tevaxia.lu/lb/locataire,""3"""
"https://tevaxia.lu/pt/copropriete,""3"""
"https://tevaxia.lu/lb/gestion-locative/reconciliation,""3"""
"https://tevaxia.lu/lb/marche/forecast,""3"""
"https://tevaxia.lu/de/pro-agences/crm/contacts,""3"""
"https://tevaxia.lu/en/hotellerie/alerts,""3"""
"https://tevaxia.lu/en/hotellerie/housekeeping,""3"""
"https://tevaxia.lu/lb/tableau-bord,""3"""
"https://tevaxia.lu/en/tableau-bord,""3"""
"https://tevaxia.lu/lb/guide/ia-tevaxia,""3"""
"https://tevaxia.lu/lb/hotellerie/pre-acquisition,""3"""
"https://tevaxia.lu/pt/energy/epbd-2050,""3"""
"https://tevaxia.lu/de/conseil-syndical,""3"""
"https://tevaxia.lu/lb/energy/cpe,""3"""
"https://tevaxia.lu/lb/gestion-locative/relances,""3"""
"https://tevaxia.lu/pt/pro-agences/fiche-bien,""3"""
"https://tevaxia.lu/lb/hotellerie/motel,""3"""
"https://tevaxia.lu/pt/gestion-locative/ais,""3"""
"https://tevaxia.lu/de/hotellerie/compset,""3"""
"https://tevaxia.lu/en/gestion-locative/reconciliation/psd2,""3"""
"https://tevaxia.lu/lb/gestion-locative/reconciliation/psd2,""3"""
"https://tevaxia.lu/en/copropriete,""3"""
"https://tevaxia.lu/de/gestion-locative/assurance-impayes,""3"""
"https://tevaxia.lu/pt/gestion-locative/assurance-impayes,""3"""
"https://tevaxia.lu/lb/pro-agences/crm/tasks,""3"""
"https://tevaxia.lu/pt/pro-agences/crm,""3"""
"https://tevaxia.lu/lb/gestion-locative/ais,""3"""
"https://tevaxia.lu/de/hotellerie/transactions,""3"""
"https://tevaxia.lu/pt/energy/audit,""3"""
"https://tevaxia.lu/de/pro-agences/commissions,""3"""
"https://tevaxia.lu/lb/conseil-syndical,""3"""
"https://tevaxia.lu/pt/energy/cpe,""3"""
"https://tevaxia.lu/de/energy/cpe,""3"""
"https://tevaxia.lu/pt/aml-kyc/archives,""3"""
"https://tevaxia.lu/de/aml-kyc/archives,""3"""
"https://tevaxia.lu/lb/pro-agences/fiche-bien,""3"""
"https://tevaxia.lu/de/hotellerie/motel,""3"""
"https://tevaxia.lu/pt/hotellerie/mice,""3"""
"https://tevaxia.lu/de/hotellerie/certifications-esg,""3"""
"https://tevaxia.lu/en/pms/proprietes/nouveau,""3"""
"https://tevaxia.lu/en/energy/epbd-2050,""3"""
"https://tevaxia.lu/en/energy/cpe,""3"""
"https://tevaxia.lu/lb/pro-agences/commissions,""3"""
"https://tevaxia.lu/lb/gestion-locative/assurance-impayes,""3"""
"https://tevaxia.lu/pt/pro-agences/crm/tasks,""3"""
"https://tevaxia.lu/pt/syndic/procuration,""3"""
"https://tevaxia.lu/en/syndic/benchmark,""3"""
"https://tevaxia.lu/pt/pro-agences/crm/contacts,""3"""
"https://tevaxia.lu/en/pro-agences/crm/contacts,""3"""
"https://tevaxia.lu/pt/hotellerie/transactions,""3"""
"https://tevaxia.lu/lb/hotellerie/capex,""3"""
"https://tevaxia.lu/lb/pms/proprietes/nouveau,""3"""
"https://tevaxia.lu/lb/hotellerie/housekeeping,""3"""
"https://tevaxia.lu/en/pro-agences/commissions,""3"""
"https://tevaxia.lu/lb/gestion-locative/etat-des-lieux,""3"""
"https://tevaxia.lu/de/gestion-locative/etat-des-lieux,""3"""
"https://tevaxia.lu/en/calculateur-loyer/observatoire,""3"""
"https://tevaxia.lu/pt/pro-agences/mandats,""3"""
"https://tevaxia.lu/pt/syndic/benchmark,""3"""
"https://tevaxia.lu/lb/hotellerie/compset,""3"""
"https://tevaxia.lu/lb/hotellerie/certifications-esg,""3"""
"https://tevaxia.lu/pt/pms/proprietes/nouveau,""3"""
"https://tevaxia.lu/lb/hotellerie/impayes,""3"""
"https://tevaxia.lu/en/hotellerie/benchmark,""3"""
"https://tevaxia.lu/en/hotellerie/due-diligence,""3"""
"https://tevaxia.lu/en/pro-agences/fiche-bien,""3"""
"https://tevaxia.lu/de/pro-agences/crm/tasks,""3"""
"https://tevaxia.lu/de/pro-agences/crm,""3"""
"https://tevaxia.lu/de/syndic/procuration,""3"""
"https://tevaxia.lu/en/pro-agences/mandats,""3"""
"https://tevaxia.lu/en/hotellerie/motel,""3"""
"https://tevaxia.lu/de/hotellerie/impayes,""3"""
"https://tevaxia.lu/pt/hotellerie/due-diligence,""3"""
"https://tevaxia.lu/pt/tableau-bord,""3"""
"https://tevaxia.lu/de/guide/ia-tevaxia,""3"""
"https://tevaxia.lu/en/pro-agences/performance,""3"""
"https://tevaxia.lu/en/gestion-locative/fiscal,""3"""
"https://tevaxia.lu/de/gestion-locative/fiscal,""3"""
"https://tevaxia.lu/de/pro-agences/fiche-bien,""3"""
"https://tevaxia.lu/pt/calculateur-loyer/observatoire,""3"""
"https://tevaxia.lu/en/marche/forecast,""3"""
"https://tevaxia.lu/en/gestion-locative/ais,""3"""
"https://tevaxia.lu/de/gestion-locative/ais,""3"""
"https://tevaxia.lu/pt/hotellerie/alerts,""3"""
"https://tevaxia.lu/pt/hotellerie/impayes,""3"""
"https://tevaxia.lu/en/esg/crrem,""3"""
"https://tevaxia.lu/pt/esg/crrem,""3"""
"https://tevaxia.lu/de/locataire,""3"""
"https://tevaxia.lu/lb/copropriete,""3"""
"https://tevaxia.lu/pt/gestion-locative/relances,""3"""
"https://tevaxia.lu/lb/syndic/benchmark,""3"""
"https://tevaxia.lu/pt/hotellerie/motel,""3"""
"https://tevaxia.lu/en/hotellerie/mice,""3"""
"https://tevaxia.lu/pt/gestion-locative/reconciliation/psd2,""3"""
